City ID,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed
79,-3.6667,152.4333,85.06,67,64,7.16
637,72.7868,-56.1549,19.85,79,52,7.67
628,1.3292,172.9752,82.4,83,75,8.05
622,50.6996,-127.4199,37.67,93,40,6.91
560,50.6789,156.125,21.78,92,94,19.42
508,62.456,-114.3525,-44.91,66,1,3.44
52,69.4541,-133.0374,-16.6,76,90,17.27
28,-33.8667,121.9,66.2,77,90,17.27
281,69.4541,-133.0374,-16.6,76,90,17.27
686,14.8961,-24.4956,68.7,73,20,14.67
127,59.7035,30.7861,10.13,92,75,20.13
653,20.5169,-13.0499,52.56,50,16,9.91
263,71.9667,102.5,-33.3,79,0,9.19
664,2.0371,45.3438,79.74,71,1,21.09
602,69.3,139.9,-31.68,85,57,0.96
105,63.7506,-68.5145,24.39,68,75,6.91
347,-8.4667,140.3333,84.24,77,99,18.59
401,47.5001,-120.5015,36.9,92,26,3.0
374,-23.1203,-134.9692,78.33,71,81,10.65
65,-0.3582,42.5454,80.56,71,7,14.34
546,42.7762,-9.0603,37.15,100,40,5.75
377,73.5069,80.5464,-28.28,86,91,10.13
665,26.5921,12.7805,58.77,30,19,13.87
208,-54.8,-68.3,46.4,76,75,10.36
594,64.5011,-165.4064,14.0,73,90,5.75
